momentum	learn_rate	data_size	n_neurons	acuracia
0.15	0.25	0.5	50	0.32894736842105265
0.15	0.25	0.5	50	0.32894736842105265
0.15	0.25	0.5	50	0.32894736842105265
0.15	0.25	0.5	50	0.34210526315789475
0.15	0.25	0.5	50	0.34210526315789475
0.15	0.25	0.5	100	0.32894736842105265
0.15	0.25	0.5	100	0.34210526315789475
0.15	0.25	0.5	100	0.32894736842105265
0.15	0.25	0.5	100	0.32894736842105265
0.15	0.25	0.5	100	0.32894736842105265
0.15	0.25	0.5	250	0.34210526315789475
0.15	0.25	0.5	250	0.32894736842105265
0.15	0.25	0.5	250	0.34210526315789475
0.15	0.25	0.5	250	0.32894736842105265
0.15	0.25	0.5	250	0.34210526315789475
0.15	0.25	0.5	500	0.32894736842105265
0.15	0.25	0.5	500	0.32894736842105265
0.15	0.25	0.5	500	0.32894736842105265
0.15	0.25	0.5	500	0.34210526315789475
0.15	0.25	0.5	500	0.34210526315789475
0.15	0.25	0.6	10	0.3442622950819672
0.15	0.25	0.6	10	0.32786885245901637
0.15	0.25	0.6	10	0.3442622950819672
0.15	0.25	0.6	10	0.32786885245901637
0.15	0.25	0.6	10	0.32786885245901637
0.15	0.25	0.6	25	0.32786885245901637
0.15	0.25	0.6	25	0.3442622950819672
0.15	0.25	0.6	25	0.3442622950819672
0.15	0.25	0.6	25	0.32786885245901637
0.15	0.25	0.6	25	0.32786885245901637
0.15	0.25	0.6	50	0.32786885245901637
0.15	0.25	0.6	50	0.3442622950819672
0.15	0.25	0.6	50	0.3442622950819672
0.15	0.25	0.6	50	0.3442622950819672
0.15	0.25	0.6	50	0.3442622950819672
0.15	0.25	0.6	100	0.32786885245901637
0.15	0.25	0.6	100	0.32786885245901637
0.15	0.25	0.6	100	0.3442622950819672
0.15	0.25	0.6	100	0.32786885245901637
0.15	0.25	0.6	100	0.32786885245901637
0.15	0.25	0.6	250	0.3442622950819672
0.15	0.25	0.6	250	0.3442622950819672
0.15	0.25	0.6	250	0.3442622950819672
0.15	0.25	0.6	250	0.3442622950819672
0.15	0.25	0.6	250	0.3442622950819672
0.15	0.25	0.6	500	0.32786885245901637
0.15	0.25	0.6	500	0.32786885245901637
0.15	0.25	0.6	500	0.3442622950819672
0.15	0.25	0.6	500	0.3442622950819672
0.15	0.25	0.6	500	0.32786885245901637
0.15	0.25	0.7	10	0.32608695652173914
0.15	0.25	0.7	10	0.34782608695652173
0.15	0.25	0.7	10	0.32608695652173914
0.15	0.25	0.7	10	0.32608695652173914
0.15	0.25	0.7	10	0.32608695652173914
0.15	0.25	0.7	25	0.32608695652173914
0.15	0.25	0.7	25	0.34782608695652173
